empresa,nota,avaliacoes
 Havaianas ,"3,3", 91
 Lupo ,"3,9", 88
 Garoto ,"4,1", 82
 Agfa Graphics ,"3,4", 81
 Livraria Leitura ,"3,3", 66
 LOJAS AVENIDA ,"4,0", 65
 Studio Fiscal ,"3,7", 62
 AMC Textile ,"3,3", 59
 Frigelar ,"3,4", 59
 Modulo Security ,"3,3", 57
 Gunnebo ,"3,4", 57
 LG Lugar de Gente ,"3,5", 56
 Avantgarde ,"3,6", 54
 Banco Modal ,"3,6", 54
 Heidelberg ,"3,9", 50
 Zopone Engenharia ,"3,8", 50
 Hospital Santa Casa de Misericórdia ,"3,8", 49
 Grupo MPE ,"3,0", 46
 ESV Digital ,"3,3", 44
 Home Care ,"4,0", 43
 Intertechne ,"3,6", 41
 G5 (Brazil) ,"3,7", 39
 CASIO COMPUTER ,"3,3", 38
 Vitta ,"3,5", 36
 Viscofan ,"3,3", 36
 Sergio Bermudes Advogados ,"3,9", 35
 Colcci ,"3,3", 34
 Isringhausen ,"2,8", 34
 Pioneer Corporation ,"3,2", 31
 ACV Tecline ,"3,7", 31
 Böllhoff Group ,"4,0", 29
 Ouro MInas Palace Hotel ,"4,1", 28
 ENESA Engenharia ,"3,9", 28
 Balluff ,"3,8", 27
 Avante ,"3,8", 27
 Azbil ,"3,2", 27
 Audibel Aparelhos Auditivos ,"3,9", 27
 Núcleo Engenharia ,"3,2", 25
 TM Solutions ,"2,9", 24
 Griletto ,"3,6", 23
 PlayKids ,"4,4", 23
 Trifil ,"3,1", 22
 Artivinco ,"3,0", 21
 Genial Investimentos ,"3,9", 21
 Grob Systems ,"3,5", 20
 Mash Media (Canada) ,"3,4", 20
 Columbia Group ,"3,6", 19
 You Move ,"3,0", 19
 Grupo Meta RH ,"3,9", 19
 Perfumaria Sumirê ,"3,1", 19
 Movida Seminovos ,"2,7", 19
 Alô Bebê ,"2,6", 19
 Fox Time ,"4,2", 19
 Colegio Santa Marcelina ,"3,1", 19
 Laboratórios Baldacci ,"3,4", 19
 Loja Mercado ,"4,2", 19
 Salusse Marangoni ,"2,5", 18
 Grupo Rodrimar ,"4,1", 18
 EBCO Systems ,"3,6", 18
 Lee Hecht Harrison (LHH) ,"3,2", 18
 Centro Universitário São Camilo ,"4,2", 18
 Try Consultoria ,"3,7", 18
 Hi Platform ,"4,1", 17
 Tutores.com.br ,"2,9", 17
 Samsung SIDI ,"3,3", 17
 Toyo Setal ,"3,5", 17
 Latasa Reciclagem ,"2,7", 17
 Enfil Controle Ambiental ,"3,6", 17
 Patroni pizza ,"3,0", 17
 Casa do Pão de Queijo ,"3,1", 17
 Associação Amigos do Projeto Guri (AAPG) ,"3,6", 17
 Millennium Network ,"4,2", 17
 Cromus ,"3,2", 16
 Fundação de Rotarianos de São Paulo ,"3,3", 16
 Systax Sistemas ,"2,9", 16
 Sociedade Bíblica do Brasil ,"3,4", 16
 SND Distribuição ,"3,2", 16
 Ministério Público do Estado de Sp ,"4,3", 16
 EPT Engenharia e Pesquisas Tecnológicas ,"3,6", 16
 Tendências Consultoria Integrada ,"3,9", 16
 Band-Genossenschaft ,"3,8", 15
 Inglês 200h ,"2,7", 15
 GO Eyewear ,"2,3", 15
 Gevisa ,"3,6", 15
 Cobrape ,"3,5", 15
 Fran's Café ,"3,2", 15
 GMUD Tecnologia e Informação ,"3,9", 15
 Coletek ,"2,7", 15
 Carrera Acelera ,"2,9", 15
 Centro de Distribuição Riachuelo ,"4,2", 15
 PanMetal ,"3,1", 15
 Voxus (Brazil) ,"4,4", 15
 Camila Klein ,"2,8", 14
 Petroplus ,"3,2", 14
 Agence Consultoria ,"3,4", 14
 Crivelli Advogados Associados ,"3,1", 14
 BIOFAST ,"2,6", 14
 Pueri Domus ,"3,3", 14
 Hospital da PUC-Campinas ,"3,9", 14
 Grace Brasil ,"4,3", 14
 Faculdade de Medicina do ABC ,"4,2", 14
 Metroval ,"3,7", 14
 Minipa ,"2,4", 14
 RedeTrel ,"2,6", 14
 Velloza & Girotto Advogados Associados ,"4,1", 14
 Grupo Ambipar ,"3,1", 14
 Ativy ,"3,7", 14
 SCIATH ,"4,0", 14
 Mundial Calçados ,"3,5", 14
 Focus Brasil ,"4,1", 14
 MCL SERVIÇOS TEMPORÁRIOS ,"2,7", 14
 WCS Conectologia ,"2,3", 14
 Hurmez Supply Chain Solutions ,"3,2", 14
 Topico Coberturas Alternativas ,"2,8", 14
 Guichë Virtual ,"3,7", 14
 Sky Brasil ,"3,6", 14
 Griaule ,"3,0", 14
 Hospital Paulista ,"3,6", 13
 Suppliercard ,"3,1", 13
 Just Digital BR ,"4,1", 13
 Conselho Regional de Enfermagem de São Paulo ,"3,7", 13
 MktMix ,"3,8", 13
 T&E Analítica ,"2,7", 13
 Vita IT ,"4,1", 13
 Onepag ,"4,4", 13
 Tullett Prebon Brasil ,"3,1", 13
 HST Card Technology ,"4,1", 13
 All Net Group ,"2,3", 13
 Hospital Novo Atibaia ,"3,4", 13
 Vila Velha Corretora de Seguros ,"3,8", 13
 Way Back ,"2,3", 13
 Ibrasa ,"3,5", 13
 Betalabs Tecnologia ,"4,2", 13
 Senarc Cobrança & Call Center ,"3,4", 13
 Alpar Tecnologia ,"4,0", 13
 Syscob Serviços de Cobrança ,"2,5", 13
 Companhia de Estágios ,"4,3", 13
 GS1 Brasil ,"3,8", 13
 Mascaro Nascimento Advocacia Trabalhista ,"3,7", 13
 Campos Mello Advogados ,"3,4", 13
 Pinhão e Koiffman Advogados ,"3,9", 13
 Cruzada Bandeirante São Camilo ,"2,8", 13
 Vitopel do Brasil ,"4,0", 13
 Westcon ,"3,9", 13
 Cellera Farma ,"3,5", 13
 Faculdade São Leopoldo Mandic ,"3,1", 13
 Internexa ,"4,0", 13
 GL Eletro Eletrônicos ,"3,7", 13
 Metalac ,"4,0", 13
 Caçula de Pneus ,"3,3", 13
 Ingresse ,"3,9", 12
 Casa de Saúde de Santos ,"3,5", 12
 Prefeitura Municipal de Ribeirão Pires ,"3,3", 12
 Pacaembu CNC ,"3,3", 12
 Zanettini Barossi ,"4,2", 12
 GS&MD Gouvêa de Souza ,"2,9", 12
 Viação Gatusa ,"3,6", 12
 Viação Cidade Dutra ,"3,6", 12
 PMKA Advogados ,"3,7", 12
 Passerine Advogados ,"2,8", 12
 ShowCase PRO ,"4,3", 12
 Iódice ,"2,6", 12
 Departamento de Ciência e Tecnologia Aeroespacia ,"3,8", 12
 Hospital Municipal de Barueri (HMB) ,"2,8", 12
 Masipack ,"2,5", 12
 Dona Deôla ,"3,8", 12
 Sambaíba ,"3,3", 12
 Boa Supermercados ,"3,4", 12
 Fundação Orquestra Sinfônica do Estado de São Paulo (OSESP) ,"4,1", 12
 Centro Médico de Campinas ,"4,3", 12
 Verescence ,"3,9", 12
 Savis ,"3,1", 12
 Brink's ePago ,"3,4", 12
 Karina Plásticos ,"3,3", 12
 Centrix Contact Center ,"2,6", 12
 Hospital Ipiranga ,"3,5", 12
 GM Promo ,"3,4", 12
 Fernandez Mera ,"3,4", 12
 Cecil Laminação de Metais ,"3,5", 12
 Armco ,"3,6", 12
 TeleHelp ,"3,4", 12
 Visual Mix ,"3,7", 12
 Concil ,"4,1", 12
 Instituto de Previdência Municipal (Iprem) ,"4,1", 12
 Centro de Formação e Integração Social (CAMP/SBC) ,"4,2", 12
 Costume ,"3,4", 12
 Greiner Bio One Brasil ,"2,6", 12
 Kikos Fitness Store ,"2,9", 12
 Special Pharmus ,"3,1", 12
 Blue Beach ,"3,0", 12
 Calvo Cesta Básica ,"3,4", 12
" Gasparini, de Cresci e Nogueira de Lima Advogados ","3,4", 12
 MSA do Brasil Equipamentos e Instrumentos de Segurança ,"3,7", 12
 Crane Brasil ,"2,9", 12
 Diagonal Transformação de Territórios ,"3,6", 12
 UNEAR ,"3,2", 12
 Compalead Eletrônica ,"3,6", 12
 B4A ,"4,0", 12
 Livework Studio ,"4,7", 12
 Telium Networks ,"3,2", 12
 ITGROUP ,"3,9", 12
 HQS Plus ,"3,4", 12
 LAR Construction ,"3,3", 11
 BizPro Technologies ,"3,4", 11
 Vinhas & Cordioli Sociedade de Advogados ,"3,6", 11
 Network BPO ,"2,3", 11
 Hub Fintech ,"3,5", 11
 Restaurante Ritz ,"3,9", 11
 CAB Ambiental ,"3,1", 11
 Transit Telecom ,"2,7", 11
 Allnet Brasil ,"2,1", 11
 REHAU Brasil ,"4,2", 11
 Score Group Brasil ,"2,8", 11
 Mello e Carvalho Advogados ,"2,5", 11
 Times Idiomas ,"3,3", 11
 BEYOUNG ,"4,7", 11
 Amparo Maternal ,"3,0", 11
 Escola Lourenço Castanho ,"3,9", 11
 Samtronic ,"3,5", 11
 Demape ,"3,1", 11
 Ticket Brasil ,"4,4", 11
 Elocc. Creative Agency ,"2,4", 11
 Fairfax Brasil Seguros Corporativos ,"3,8", 11
 Z+ Digital ,"3,6", 11
 Italian Coffee ,"3,3", 11
 Contesp Contabilidade ,"2,7", 11
 Blood Bank of Sao Paulo ,"3,7", 11
 Force Line ,"2,4", 11
 Tovani Benzaquen Ingredientes ,"3,5", 11
 Emphasys IT Services ,"3,1", 11
 Grupo Consulters ,"2,0", 11
 NewBlue Marketing de Performance ,"3,2", 11
 Pólux Engenharia ,"4,3", 11
 Snellog ,"3,7", 11
 Ubik ,"2,6", 11
 Cursinho Objetivo ,"3,8", 11
 Layer Up ,"4,3", 11
 Consladel (CLD) ,"3,9", 11
 GAT Logística ,"3,2", 11
 Consulado Geral Britânico de São Paulo ,"4,0", 11
 J. Piaget Sistema de Ensino ,"3,3", 11
 Valisere ,"3,3", 11
 Prefeitura Municipal de Paulínia ,"3,2", 11
 Saeng Engenharia ,"3,9", 11
 Brabus ,"4,0", 11
 Devemada Engenharia ,"2,7", 11
 Editora Inovação ,"3,4", 11
 Tarjab ,"3,5", 10
 Active Engenharia ,"3,3", 10
 Alpha Secure ,"3,0", 10
 IC Transportes ,"4,0", 10
 InterServicer ,"2,6", 10
 Associação Nóbrega de Educação e Assistência Social ,"3,4", 10
 A1 Soluções ,"3,7", 10
 Hospital Geral de Itapecerica de Serra ,"3,6", 10
 Cadis Consultoria ,"3,0", 10
 Harmonia Corretora ,"4,1", 10
 Hospital e Maternidade Ipiranga Arujá ,"3,4", 10
 Vila Galvão ,"3,3", 10
 Cruzaço Fundição e Mecânica ,"3,5", 10
 Indigosoft ,"3,7", 10
 Indústrias Brasileiras De Artigos Refratários (IBAR) ,"2,8", 10
 Santa Casa de São José dos Campos ,"3,6", 10
 MoveBuss ,"2,9", 10
 Bullet Group ,"3,6", 10
 Confirp Contabilidade ,"2,6", 10
 Solera Brasil ,"3,1", 10
 Astellas Farma Brasil ,"3,7", 10
 Dovac Indústria e Comércio ,"3,4", 10
 Martha Medeiros ,"2,6", 10
 Grupo Suhai ,"4,0", 10
 iCustomer ,"3,8", 10
 Cheque Nobre ,"3,5", 10
 Universidade Católica de Santos (Unisantos) ,"4,1", 10
 Centro Universitário Padre Anchieta (UNIANCHIETA) ,"3,7", 10
 Direct One Brasil ,"4,2", 10
 Goakira ,"4,4", 10
 IASTECH ,"3,9", 10
 Master Health ,"4,8", 10
 Gogo Digital ,"4,4", 10
 Pismo ,"4,4", 10
 CIS Corporate ,"3,9", 10
 Grupo MGB ,"3,4", 10
 Nord Anglia Education ,"3,1", 65
 Easy Carros ,"3,6", 13
 Royal FIC ,"3,5", 16
 Prada USA ,"3,4", 121
" Harley-Davidson, Inc. ","3,5", 726
 Doosan ,"3,6", 233
 Sankyu ,"2,8", 59
 Zeppelin Systems ,"3,5", 20
 HM Engenharia ,"4,0", 16
 Exed Consulting ,"4,8", 13
 Gartner ,"3,7"," 2,9k"
 Autodesk ,"4,0"," 2,0k"
 Lionbridge ,"3,1"," 1,6k"
 C.H. Robinson ,"3,4"," 1,5k"
 McAfee ,"3,4"," 1,4k"
 RE/MAX ,"3,9"," 1,0k"
 Samsung Electronics America ,"2,8", 905
 NXP Semiconductors ,"3,8", 901
 Burberry ,"3,2", 846
 FTI Consulting ,"3,6", 815
 W.L. Gore ,"3,5", 687
 Kantar ,"3,3", 657
 S&P Global ,"3,6", 652
 Software AG ,"3,8", 614
 Glassdoor ,"4,2", 563
 MSD ,"3,9", 442
 CHEP ,"3,7", 402
 Konecranes ,"3,5", 317
 Oath ,"3,2", 302
 Sumitomo Corporation ,"3,4", 295
 ARYZTA ,"2,3", 289
 IPSEN ,"3,7", 273
 Dresser-Rand ,"3,0", 265
 Tate & Lyle ,"3,8", 258
 Barry Callebaut ,"3,4", 240
 GEA Group ,"3,5", 233
 Grundfos ,"3,7", 209
 Audatex ,"3,0", 208
 Applus+ ,"2,9", 207
 Bloomin' Brands ,"3,8", 199
 Ferring Pharmaceuticals ,"2,9", 182
 Toyota Boshoku ,"3,2", 180
 Collinson ,"3,4", 175
 RHI Magnesita ,"3,8", 174
 Coloplast ,"3,6", 167
 SBA Communications ,"3,2", 159
 TP-LINK ,"2,6", 127
 MODEC ,"3,8", 124
 Instituto Aquila ,"3,7", 114
 Nikon ,"3,4", 101
 Randon ,"4,2", 98
 Grunenthal ,"2,8", 93
 Jungheinrich ,"3,3", 90
 Chemtech ,"4,0", 89
 Dayco Products ,"2,4", 89
 Kawasaki Heavy Industries ,"3,4", 88
 Hydro ,"3,6", 86
 Anima Educação ,"3,3", 84
 TTi Global ,"2,9", 83
 Daikin Applied ,"3,4", 82
 Gerresheimer ,"3,1", 81
 Atlantico ,"4,3", 81
 iZettle ,"3,6", 76
 SICK ,"4,0", 73
 Samvardhana Motherson Peguform ,"3,2", 72
 Onet (France) ,"2,9", 71
 Sompo Holdings ,"3,3", 64
 Granado ,"4,0", 64
 Softline Group ,"3,0", 59
 Castrol ,"3,5", 57
 Processor Group ,"3,4", 57
 Secretaria de Estado da Educação ,"3,1", 56
 Mendes Júnior ,"4,0", 56
 Ontex ,"3,7", 55
 Gaia Silva Gaede & Associados ,"3,9", 49
 Accera ,"4,2", 48
 Grupo Dass ,"3,7", 48
 F-Iniciativas ,"3,1", 48
 Top Service Serviços e Sistemas ,"3,2", 47
 Martinelli Advocacia Empresarial ,"3,7", 42
 Condomínio de Soluções ,"3,0", 41
 LeasePlan UK ,"3,3", 37
 Expresso Nepomuceno ,"3,6", 33
 OdontoCompany ,"3,2", 33
 Marcel Worldwide ,"3,4", 32
 SMART Modular ,"3,5", 32
 Movera ,"3,2", 31
 Hospital São Vicente de Paulo ,"3,6", 31
 Diagnósticos do Brasil ,"3,7", 30
 Arcade Beauty ,"2,5", 30
 Serttel ,"3,3", 30
 Sofhar ,"3,1", 28
 Estrela ,"3,2", 28
 ILOS ,"3,7", 28
 Metro International ,"3,1", 27
 Mobitel ,"3,4", 27
 Logoplaste ,"3,5", 27
 Avanxo ,"3,9", 27
 Bravo Serviços Logísticos ,"3,4", 27
 Priner Serviços Industriais ,"3,9", 27
 Souto Correa Cesa Lummertz & Amaral Advogados ,"3,2", 25
 Cia. Cacique de Café Solúvel (Café Pelé) ,"4,0", 24
 Stoller (Colorado) ,"3,6", 23
 Multipark Estacionamentos ,"3,6", 23
 Direct Express Logística ,"3,6", 23
 Barriga Verde ,"4,0", 23
 Teltex Tecnologia ,"3,1", 22
 Grupo Stefanini ,"3,2", 22
 Concórdia Logística ,"3,6", 22
 Spicy Pickle Franchising Inc ,"3,0", 21
 Geração Futuro ,"3,4", 21
 Brasilseg Seguradora ,"3,5", 21
 Enxuto Supermercados ,"3,5", 21
 Grupo Sesé ,"3,1", 20
 Abbraccio Restaurante ,"3,5", 20
 Listo Fácil ,"3,3", 20
 CRW Plásticos ,"2,6", 20
 BrandLoyalty ,"3,6", 20
 Saraiva ,"3,3", 19
 Solutions One ,"2,9", 19
 Grupo Card ,"3,0", 19
 Soma ,"3,5", 19
 NEC Latin America ,"2,8", 19
 PrimeUP ,"4,3", 19
 DIA Supermercado ,"3,3", 19
 ESPM Jr. ,"4,3", 18
 S.I.N Sistemas de Implante ,"3,9", 18
 Nova Opersan ,"3,1", 17
 Escola Politécnica da USP ,"4,1", 17
 Grupo GPSS ,"3,2", 16
 Casa de Bolos ,"4,0", 16
 Mitsui Alimentos ,"3,3", 16
 Fortbras ,"3,1", 16
 Ability Comunicação e Tecnologia ,"4,0", 16
 CCRR ,"3,4", 16
 ADN Tecnologia ,"3,1", 16
 THB Group ,"3,3", 15
 Padaria Pão de Açucar ,"4,1", 15
 Tardioli Lima Advogados Associados ,"2,8", 15
 Go Further ,"3,4", 15
 Ricardo Almeida ,"3,7", 15
 Di Gaspi ,"2,4", 15
 Seicom Engenharia ,"3,6", 15
 Conselho Regional de Farmácia do Estado de São Paulo (CRF-SP) ,"3,9", 15
 Rohr Brasil ,"3,4", 15
 Instituto da Criança (HCFMUSP) ,"3,8", 14
 b2finance ,"2,7", 14
 Constarco Engenharia ,"3,2", 14
 Vikings Excelência em Limpeza e Serviços ,"3,0", 14
 Metrus Instituto de Seguridade Social ,"3,5", 14
 CM Capital Markets ,"3,1", 14
 Balaska Equipamentos ,"3,3", 14
 Agência Café Comunicação Integrada ,"2,9", 14
 Mecalor ,"3,9", 14
 Companhia Brasileira de Distribuição ,"4,0", 14
 Aunica ,"3,8", 14
 LOV ,"3,5", 14
 Systemplan ,"2,8", 13
 Engebanc Real Estate ,"2,3", 13
 Grupo Promex ,"2,6", 13
 Ever Green ,"2,6", 13
 T&M Testes de Software ,"3,1", 13
 Compel Distribuidora de Autopeças ,"3,4", 13
" ""Ferro, Castro Neves, Daltro e Gomide Advogados"" ","4,1", 13
 Instituto de Responsabilidade Social Sírio-Libanês (IRSSL) ,"3,6", 13
 Icatel Serviços ,"2,9", 13
 CGI América do Sul Soluções de Tecnologia ,"2,6", 13
 Locabens Equipamentos ,"3,1", 13
 Schütz Vasitex ,"3,4", 13
 Fingerprint Gráfica ,"3,2", 13
 Enjoy Inglês Profissionalizante ,"2,5", 13
 Toutatis ,"2,7", 13
 Unimes ,"3,4", 13
 Pró-Corpo Estética ,"3,2", 13
 Home Angels ,"3,5", 13
 Procuradoria Geral da Fazenda Nacional ,"3,6", 13
 Continental Parafusos ,"3,8", 13
 Lopes Domingues Advogados ,"2,4", 13
 Logit Brasil ,"4,2", 13
 MasterFoods Brasil ,"4,1", 13
 4YOU2 ,"2,4", 13
 Engbras ,"2,7", 13
 Gaveteiro ,"3,4", 13
 Virtual Interactions ,"3,5", 12
 Central de Convênios ,"2,8", 12
 Lipson Cosméticos ,"3,5", 12
 Goulart e Colepicolo Advogados ,"3,4", 12
 Conx Construtora e Incorporadora ,"3,7", 12
 Oficina do Estudante ,"3,0", 12
 UCI-Farma ,"3,3", 12
 Pontonet ,"3,3", 12
 Clínica Premium Care ,"2,6", 12
 Código Girls ,"3,6", 12
 Areco Sistemas Empresariais ,"3,2", 12
 Information Systems ,"3,8", 12
 Save TI ,"3,3", 12
 Banco Industrial do Brasil (BIB) ,"3,2", 12
 Transzero Transportadora de Veículos ,"3,8", 12
 Prefeitura Municipal de Itapecerica da Serra ,"2,9", 12
 Jundiá Sorvetes ,"3,9", 12
 Souza Lima ,"2,9", 12
 Ativa Logística ,"3,6", 12
 Green by Missako ,"3,1", 12
 Wellcare Automação ,"3,8", 12
 Perez de Rezende Advocacia ,"3,2", 12
 Aite Benner ,"3,1", 12
 Rede Novo Tempo ,"3,6", 12
 Faculdade Impacta Tecnologia ,"2,5", 12
 Sumitomo Corporation do Brasil ,"3,2", 12
 Consulters ,"2,9", 12
" ""Advocacia Castro Neves, Dal Mas"" ","4,0", 12
 Big Brands ,"3,2", 12
 Informov Engenharia ,"3,2", 12
 Neolaw ,"3,1", 12
 Razzo ,"3,7", 12
 Droga Verde ,"3,3", 12
 RPMA Comunicação ,"3,1", 12
 Coface ,"3,7", 12
 Salon Line ,"3,3", 12
 Agiliza ,"2,7", 12
 Instituto de Pesquisa e Planejamento ,"3,7", 12
 WH Engenharia ,"3,5", 12
 TCT Brasil ,"3,6", 11
 Sistemas Seguros ,"2,8", 11
 Rock Comunicação ,"2,9", 11
 2Mundos ,"3,6", 11
 Jacques Janine ,"3,2", 11
 Colégio Itatiaia ,"3,4", 11
 Hospital Santana ,"2,8", 11
 Urbplan ,"2,7", 11
 Hospital Previna ,"2,1", 11
 MicroWork Softwares ,"3,8", 11
 Mr.Cheney ,"4,1", 11
 Alfa Seguradora ,"2,8", 11
 Avipam Turismo e Tecnologia ,"3,5", 11
 ITBroker ,"3,5", 11
 Overboard ,"3,5", 11
 Hospital Augusto de Oliveira Camargo (HAOC) ,"3,0", 11
 Hospital Regional de Cotia ,"4,3", 11
 Colégio Decisão ,"2,8", 11
 AutoMate Brasil ,"2,2", 11
 SAS Institute Brasil ,"4,2", 11
 Instituto Aprender e Trabalhar (IAT) ,"3,9", 11
 HTI Tecnologia ,"2,9", 11
 Paulistão Supermercados ,"3,7", 11
 Supermercado Bem Barato ,"4,0", 11
 Enterprise Business Development and Information (EBDI) ,"3,3", 11
 Russi Supermercados ,"3,3", 11
 Grupo Pollus ,"2,7", 11
 Abe Giovanini Advogados ,"4,0", 11
 Moraes Pitombo Advogados ,"3,9", 11
 Recursus Engenharia ,"3,8", 11
 Pensalab ,"4,0", 11
 Hospital Santa Elisa ,"2,8", 11
 Gama Academy ,"4,6", 11
 Agência USP de Inovação ,"4,0", 11
 IT Universe Tecnologia ,"3,9", 11
 Hospital São Bernardo ,"4,3", 11
 Empax (Brazil) ,"3,1", 11
 Auditeste ,"4,1", 11
 Nobre Seguradora ,"3,5", 11
 Digitalmed ,"4,3", 11
 Hospital e Maternidade São Cristóvão ,"2,8", 11
 Hive Marketing Technology ,"3,2", 10
 Hagaplan ,"3,5", 10
 Healthways ,"3,7", 10
 Projeto Pérola ,"3,7", 10
 Mucambo ,"3,6", 10
 ADA TINA Italy ,"2,9", 10
 Kognit ,"3,3", 10
 Azeite Gallo ,"3,2", 10
 Assertiva ,"3,8", 10
 Lucon Advogados ,"3,6", 10
 Tavano Maier Advogados ,"2,7", 10
 Editora Ave-Maria ,"3,4", 10
 Grupo Agostinho Soares ,"3,5", 10
 Promedon São Paulo Produtos Médico Hospitalares ,"3,5", 10
 2Easy ,"3,8", 10
 Allonda Geossintéticos Ambientais ,"3,6", 10
 B2U Sistemas ,"2,2", 10
 Plastek do Brasil ,"4,1", 10
 Portal Publicidade ,"3,5", 10
 Magno Serviços de Cobrança ,"2,8", 10
 Gera Gestão de Modelos Comerciais ,"3,2", 10
 Mansur Vidros ,"2,5", 10
 Rede Decisão ,"3,7", 10
 Quatá Investimentos ,"3,2", 10
 Dark Media Group ,"4,3", 10
 Irmãs Hospitaleiras ,"3,7", 10
 Fundepag ,"3,8", 10
 Laboratório Bérgamo ,"3,6", 10
 Fullbar Digital ,"4,2", 10
 Kawahara Takano ,"2,0", 10
 Fórum Criminal Ministro Mario Guimaraes ,"4,4", 10
 Rocha e Calderon Advogados Associados ,"3,7", 10
 Opportunity Translations ,"1,8", 10
 Companhia de Idiomas ,"3,8", 10
 Center Cell ,"3,1", 10
 ICL Brasil ,"3,3", 10
 Cappuccino Digital ,"3,1", 10
 Essencial Sistema de Segurança ,"2,1", 10
 Höganäs Brasil ,"3,8", 10
 iNove Tecnologia em Redes ,"2,9", 10
 Grupo Skill ,"3,8", 10
 Groupe 360 ,"2,9", 10
 Instituto de Tecnologia de Alimentos (ITAL) ,"4,0", 10
 Olitel Telecomunicações ,"3,1", 10
 Transfolha ,"2,3", 10
 Rayes e Fagundes Advogados Associados ,"3,6", 10
 Age Technology ,"4,2", 10
 Grupo Sobam ,"3,9", 10
 CBYK ,"4,2", 10
 Union IT ,"3,1", 10
 Wet'n Wild ,"3,4", 10
 Petraroli ,"3,7", 10
 Hospistal Maternidade Pro Matre ,"3,7", 10
 Hospital do Servidor Público Municipal (HSPM) ,"3,3", 10
 Casa das Alianças ,"3,2", 10
 HLB Brasil ,"3,1", 10
 Melke Prado Advogados ,"2,2", 10
 NOALVO ,"3,7", 10
 Lendico Brasil ,"4,2", 10
 Vizir Software Studio ,"4,7", 10
 Biogen Comercial Distribuidora ,"3,6", 10
 Octadesk ,"4,1", 10
 Move2 The Next Level ,"3,6", 10
 Keepers Brasil ,"2,8", 10
 Fast Solutions ,"2,8", 10
 Ipen ,"3,6", 9
 Editora PINI ,"3,3", 9
 Fundhas Foundation ,"3,6", 9
 Big Studios CGI Animation ,"3,5", 9
 iColabora ,"3,3", 9
 Imatec Computacion ,"3,3", 9
 Desenvolve SP ,"3,6", 9
 Serviço Autônomo de Água e Esgoto de Guarulhos ,"3,0", 9
 Skymark (Brazil) ,"2,4", 9
 Liderança Cobranças ,"2,8", 9
 Damapel ,"3,6", 9
 RL&AC Advogados ,"3,8", 9
 Buntech ,"3,3", 9
 2N Engenharia ,"2,9", 9
 Takasago Fragrâncias e Aromas ,"3,3", 9
 Tradeworks ,"3,6", 9
 Pochet do Brasil ,"3,2", 9
 Matueté ,"3,9", 9
 High Tech Communications (HTCOM) ,"3,0", 9
 Hospital Geral de Carapicuíba ,"3,9", 9
 IPCorp Telecom ,"2,9", 9
 KG Sorensen ,"2,0", 9
 Canatiba ,"3,8", 9
 Irmãos Avelino Distribuidora ,"4,4", 9
 Cria Sim Produtos de Limpeza ,"2,9", 9
 Accesstage ,"3,6", 9
 Gear SEO ,"4,6", 9
 Polvora! Comunicação ,"3,6", 9
 Escola Projeto Vida ,"4,0", 9
 VoxCred ,"3,2", 9
" Excelia Consultoria, Gestão e Negócios ","4,4", 9
 Remay ,"4,3", 9
 Agencia Platz ,"3,6", 9
 Zoológico de São Paulo ,"3,7", 9
 Sqltech ,"3,8", 9
 Magnum Serviços Empresariais ,"2,9", 9
 Emplasa ,"4,4", 9
 Encibra Estudos e Projetos de Engenharia ,"3,3", 9
 Centrais de Abastecimento de Campinas (CEASA/CAMPINAS) ,"3,0", 9
 RPA Seguros ,"4,7", 9
 AGR Consultores ,"3,9", 9
 Actmob Marketing Digital ,"2,6", 9
 Cruz Azul de São Paulo ,"3,2", 9
 LVK Sistemas ,"3,8", 9
 Fundamentos IT ,"2,1", 9
 Guarda Civil Metropolitana de São Paulo ,"2,9", 9
 IS Interactive Group ,"1,8", 9
 Peers Consulting (Brazil) ,"4,6", 9
 Taxweb ,"3,1", 9
 Agência Nação ,"1,8", 9
 Prima Software Brasil ,"3,8", 9
 HabberTec ,"3,7", 9
 Gazit Brasil ,"2,8", 9
 Brasil Pré-Pagos ,"4,1", 9
 Engelux ,"3,6", 9
 Mix Fiscal ,"3,6", 9
 Carandá Vivavida Educação ,"4,5", 11
 Veloce Logística ,"3,5", 10
 General Mills ,"3,7"," 2,2k"
 Intertek ,"2,7"," 1,0k"
 Germed Pharma ,"3,1", 29
 INTL FCStone ,"3,4", 156
 Copart ,"2,6", 520
 Getronics ,"2,6", 246
 Egis Group ,"3,5", 195
 Intimissimi ,"3,4", 24
 Funcional Corp ,"3,5", 16
 Sony Pictures Entertainment ,"3,7", 682
 Via Mia ,"3,0", 52
 ProMinent ,"3,4", 26
 Sage Folhamatic ,"2,5", 14
" ""Sindicato dos Trabalhadores em Hotéis, Bares, Restaurantes e Similares de São Paulo (Sinthoresp)"" ","4,2", 12
 OSESP Administradora e Serviços ,"3,1", 12
 MMT Gapnet ,"3,8", 12
 Conselho Regional de Engenharia e Agronomia de São Paulo (CREA/SP) ,"3,4", 10
 Athenabanco ,"3,3", 10
 Unitono Brasil ,"3,5", 10
 Think Ideias ,"3,5", 9
 Associação Paulista de Cirurgiões-Dentista (APCD) ,"3,0", 9
 Scotiabank ,"3,5"," 3,6k"
 ExxonMobil ,"3,8"," 3,3k"
 Delta Air Lines ,"4,2"," 2,8k"
 Travelers ,"3,9"," 2,6k"
 BMC Software ,"3,8"," 1,3k"
